instance_id,box_id,length,width,height
0,0,20.5,40.0,32.0
0,1,17.0,49.0,54.0
0,2,28.0,20.5,32.0
0,3,32.0,32.0,20.5
0,4,60.0,34.0,17.0
0,5,37.0,18.5,32.0
0,6,32.0,63.0,18.5
0,7,74.0,13.0,50.0
0,8,15.5,32.0,61.0
0,9,27.0,50.0,13.0
0,10,15.0,24.0,36.0
0,11,16.0,34.5,59.0
0,12,34.5,59.0,16.0
0,13,51.0,17.0,21.0
0,14,33.0,51.0,17.0
0,15,36.0,66.0,14.0
0,16,14.0,66.0,18.0
0,17,11.0,46.0,49.0
0,18,49.0,46.0,9.0
0,19,46.0,56.0,17.0
0,20,32.0,18.5,25.5
0,21,24.0,26.5,66.0
0,22,24.0,12.5,66.0
0,23,21.0,59.0,26.5
0,24,59.0,11.0,26.5
0,25,38.0,40.0,20.0
0,26,40.0,38.0,14.0
0,27,13.0,36.0,48.5
0,28,24.5,13.0,36.0
0,29,48.5,14.0,13.0
0,30,14.0,24.5,13.0
0,31,26.0,46.0,17.0
0,32,18.0,17.0,46.0
0,33,46.0,10.5,38.0
0,34,38.0,46.0,6.5
0,35,34.0,27.0,21.0
0,36,34.0,33.0,21.0
0,37,8.75,42.5,32.0
0,38,42.5,16.75,32.0
0,39,15.0,30.0,9.0
0,40,15.0,15.0,30.0
0,41,25.5,46.0,18.0
0,42,18.0,23.5,46.0
0,43,50.0,13.0,18.0
0,44,8.0,13.0,50.0
1,0,28.0,20.5,100.0
1,1,47.0,44.0,53.0
1,2,100.0,11.0,26.5
1,3,47.0,72.0,47.0
1,4,23.5,100.0,53.0
1,5,27.0,26.5,25.0
1,6,18.5,56.0,47.0
1,7,6.375,53.0,100.0
1,8,53.0,8.375,100.0
1,9,73.0,25.0,19.25
1,10,73.0,7.25,25.0
1,11,47.0,20.0,47.0
1,12,47.0,47.0,8.0
1,13,47.0,34.5,24.0
1,14,35.0,53.0,14.75
1,15,47.0,34.5,22.0
1,16,47.0,34.5,10.0
1,17,14.75,32.5,53.0
1,18,32.5,14.75,21.5
1,19,14.75,31.5,32.5
1,20,52.0,26.5,17.0
1,21,26.5,48.0,17.0
1,22,39.0,20.5,25.0
1,23,20.5,25.0,61.0
2,0,54.0,30.0,15.0
2,1,54.0,15.0,70.0
2,2,70.0,54.0,15.0
2,3,30.0,15.0,54.0
2,4,30.0,71.0,70.0
2,5,29.0,30.0,70.0
2,6,60.0,46.0,30.0
2,7,46.0,30.0,40.0
2,8,63.0,33.0,70.0
2,9,37.0,38.0,70.0
2,10,33.0,70.0,20.5
2,11,33.0,16.5,70.0
